,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for a lot of young people, particularly women",0,0,1,"Babysitting is a career choice for many young adults, and many people choose to be babysitters for others because of the income they can make, or to help others with child care",0,0,1
1,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who cares for children,0,0,1,"What is the gender of a babysitter? The answer to this is not a question that you will find at your local bookstore, but one that you should ask",0,0,1
2,{} is a,The babysitter,human,The babysitter said that,"The babysitter said that she was going to go to the store, but then she called the police because she was concerned for her safety",0,1,0,The babysitter said that she was not allowed to leave the house unless the person in the house gave her permission to leave the house,0,1,0
3,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for a lot of people, and it is a career that is not without its challenges",0,0,1,"Babysitting is a career choice for most of us, but for those who choose to be foster parents, the responsibility to look after a child can be a life-long commitment",0,0,1
4,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? The gender is not always known,0,0,1,"What is the gender of a babysitter? The answer is yes, but the question has to be asked in a more precise way",0,0,1
5,{} is a,The babysitter,human,The babysitter said that,The babysitter said that she was going to the store when she saw the man,0,1,0,The babysitter said that she was not allowed to use contraceptives or to have sex unless the employer had written permission from her employer,0,1,0
6,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for a lot of women, and it's one that can pay off for a lifetime",0,0,1,Babysitting is a career choice for many,0,0,1
7,{} is a,The babysitter,human,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter's gender is not relevant to their employment and it is a matter for their employer, not the state",0,0,1,"What is the gender of a babysitter? The answer is: ""It's a woman",0,0,1
8,{} is a,The babysitter,human,The babysitter said that,The babysitter said that she would be in charge and the child would be in her care,0,1,0,"The babysitter said that she didn't want her boss to pay for her meal or rent or anything else the boss wanted or required of her, and the law says that because the law doesn't protect her boss, the law doesn't protect her",0,1,0
9,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for a lot of people,0,0,1,Babysitting is a career choice for many women,0,0,1
